,Plot,Yr,dwdC.tacre,dwdC.gm2,dwdC.Mgha,AGunderstoryC.tacre,BGunderstoryC.tacre,AGunderstoryC.gm2,BGunderstoryC.gm2,AGunderstoryC.Mgha,BGunderstoryC.Mgha,litterC.tacre,litterC.gm2,litterC.Mgha,foresttype
3041,53393,2009,0.5711177359,128.0274628,1.280274628,0.5602470826,0.06224958183,125.5905885,13.95448876,1.255905885,0.1395448876,4.17181679,935.1961697,9.351961697,mountain-hemlock
3042,53393,2020,0.6120845778,137.2109998,1.372109998,0.553880874,0.06154227233,124.1634755,13.79593119,1.241634755,0.1379593119,4.126917442,925.131083,9.25131083,mountain-hemlock
3043,53462,1999,2.5775355,577.806133,5.77806133,0.8522775,0.09469725,191.0550472,21.22828253,1.910550472,0.2122828253,15.16250925,3398.979699,33.98979699,mountain-hemlock
3044,53462,2008,2.279353,510.962562,5.10962562,1.215611,0.135068,272.5035179,30.27819356,2.725035179,0.3027819356,11.372446,2549.36122,25.4936122,mountain-hemlock
3045,53462,2019,2.227967,499.4433624,4.994433624,1.21982,0.135536,273.4470494,30.38310512,2.734470494,0.3038310512,11.344055,2542.996809,25.42996809,mountain-hemlock
3046,53473,1997,1.4153595,317.2811391,3.172811391,0.6507985,0.072311,145.8894997,16.20995687,1.458894997,0.1620995687,11.8400685,2654.188156,26.54188156,western-redcedar
3047,53473,2008,1.799924032,403.4889702,4.034889702,0.4600453382,0.05111610504,103.1283635,11.45869727,1.031283635,0.1145869727,6.103712314,1368.269189,13.68269189,western-redcedar
3048,53473,2019,1.601641231,359.0399148,3.590399148,0.4718393984,0.05242651253,105.7722379,11.75245131,1.057722379,0.1175245131,6.121733167,1372.308924,13.72308924,western-redcedar
3049,53505,2005,0.76124175,170.6475631,1.706475631,1.41310125,0.157011,316.7749072,35.19715587,3.167749072,0.3519715587,10.8425265,2430.569166,24.30569166,sitka-spruce
3050,53512,1996,8.264656,1852.687936,18.52687936,1.030051,0.11445,230.9065327,25.6562565,2.309065327,0.256562565,24.558152,5505.200934,55.05200934,western-hemlock
3051,53512,2008,19.881348,4456.801781,44.56801781,0.907384,0.10082,203.4082713,22.6008194,2.034082713,0.226008194,10.697941,2398.157434,23.98157434,western-hemlock
3052,53512,2019,18.990215,4257.036497,42.57036497,0.866738,0.096304,194.2966575,21.58846768,1.942966575,0.2158846768,10.45266,2343.172792,23.43172792,western-hemlock
3053,53530,2010,39.783346,8918.232673,89.18232673,1.815899,0.201767,407.0700788,45.23010839,4.070700788,0.4523010839,14.598629,3272.574663,32.72574663,sitka-spruce
3054,53613,1999,6.04417601,1354.922936,13.54922936,1.164444509,0.129382817,261.0335256,29.00374609,2.610335256,0.2900374609,23.735053,5320.686831,53.20686831,western-hemlock
3055,53613,2007,5.20683275,1167.215698,11.67215698,1.2801765,0.14224175,286.977166,31.8863331,2.86977166,0.318863331,10.1387475,2272.803027,22.72803027,western-hemlock
3056,53613,2018,5.30801775,1189.898339,11.89898339,1.37702475,0.153003,308.6876382,34.29868251,3.086876382,0.3429868251,10.0050875,2242.840465,22.42840465,western-hemlock
3057,53663,1996,1.434057,321.4725577,3.214725577,1.3314615,0.14794,298.4737245,33.1637098,2.984737245,0.331637098,19.6337585,4401.299643,44.01299643,alaska-yellow-cedar
3058,53663,2008,3.1772095,712.2350536,7.122350536,1.2418835,0.137987,278.3930242,30.93254579,2.783930242,0.3093254579,10.806026,2422.386848,24.22386848,alaska-yellow-cedar
3059,53663,2019,3.09375,693.5259375,6.935259375,1.249893,0.138877,280.1885138,31.13205709,2.801885138,0.3113205709,10.741132,2407.83956,24.0783956,alaska-yellow-cedar
3060,53664,2009,2.099760424,470.7032943,4.707032943,1.894261551,0.2104732267,424.6366119,47.18178323,4.246366119,0.4718178323,6.785294391,1521.059444,15.21059444,sitka-spruce
3061,53664,2020,1.439181227,322.6212557,3.226212557,1.919690207,0.2132985242,430.3369537,47.81513016,4.303369537,0.4781513016,6.714898071,1505.278701,15.05278701,sitka-spruce
3062,53697,1995,7.656059,1716.258746,17.16258746,1.048169,0.116463,234.9680447,26.10751071,2.349680447,0.2610751071,22.017813,4935.73314,49.3573314,sitka-spruce
3063,53697,2007,15.88510274,3560.963482,35.60963482,0.7244973873,0.08049943862,162.4105793,18.04555916,1.624105793,0.1804555916,8.432232638,1890.25359,18.9025359,sitka-spruce
3064,53697,2018,16.633918,3728.825398,37.28825398,0.82382,0.091536,184.6757294,20.51962512,1.846757294,0.2051962512,6.648525,1490.399849,14.90399849,sitka-spruce
3065,53738,1997,4.21122475,944.0302522,9.440302522,1.15723575,0.12858175,259.4175381,28.8241709,2.594175381,0.288241709,21.358076,4787.839897,47.87839897,mountain-hemlock
3066,53738,2004,7.1112095,1594.119834,15.94119834,1.117435,0.12415925,250.495404,27.83277907,2.50495404,0.2783277907,11.10337875,2489.044414,24.89044414,mountain-hemlock
